job_name,company,lokasi,tingkat_job,lama_pengalaman,jenis_job,ukuran_company,industri,gaji,median_gaji,sumber
data scientist,perusahaan dirahasiakan,dki jakarta,senior tingkat menengah,5.0,penuh waktu,,,"[20000000, 25000000]",22500000.0,jobstreet
data scientist,pt main games indonesia (jakarta),dki jakarta,asosiasi,3.0,penuh waktu,1-50 pekerja,teknologi informasi dan komunikasi,,,jobstreet
data scientist,pt mega central finance,dki jakarta,senior tingkat menengah,5.0,penuh waktu,1.001-5.000 pekerja,keuangan,,,jobstreet
data scientist,kompas gramedia - kg media - kg media,dki jakarta,asosiasi,3.0,penuh waktu,1-50 pekerja,media,,,jobstreet
data scientist,pt berlian sistem informasi,dki jakarta,asosiasi,3.0,penuh waktu,201-500 pekerja,teknologi informasi dan komunikasi,,,jobstreet
data scientist,pt. lippo karawaci tbk,banten,asosiasi,4.0,penuh waktu,1.001-5.000 pekerja,properti,,,jobstreet
data scientist,pt sharing vision indonesia,dki jakarta,asosiasi,2.0,penuh waktu,51-200 pekerja,konsultasi,"[12000000, 20000000]",16000000.0,jobstreet
data scientist,pt kamoro maxima integra,dki jakarta,asosiasi,3.0,penuh waktu,51-200 pekerja,teknologi informasi dan komunikasi,,,jobstreet
data scientist,pt eigerindo multi produk industri,jawa barat,asosiasi,3.0,penuh waktu,1.001-5.000 pekerja,ekonomi,,,jobstreet
data scientist,yayasan aidhub indonesia,bali,senior tingkat menengah,2.0,penuh waktu,1-50 pekerja,teknologi informasi dan komunikasi,"[9000000, 12600000]",10800000.0,jobstreet
data scientist,pt. prima vista solusi,dki jakarta,senior tingkat menengah,5.0,penuh waktu,501-1.000 pekerja,teknologi informasi dan komunikasi,,,jobstreet
data scientist,pt kideco jaya agung (kideco),kalimantan timur,senior tingkat menengah,2.0,kontrak,201-500 pekerja,pertambangan,,,jobstreet
data scientist,pt os selnajaya indonesia,dki jakarta,senior tingkat menengah,5.0,penuh waktu,201-500 pekerja,konsultasi,,,jobstreet
data scientist,pt. persolkelly recruitment indonesia,dki jakarta,asosiasi,3.0,penuh waktu,1.001-5.000 pekerja,konsultasi,,,jobstreet
data scientist,pt dua empat tujuh,dki jakarta,asosiasi,1.0,penuh waktu,501-1.000 pekerja,konsultasi,,,jobstreet
data scientist,pt pratesis,dki jakarta,asosiasi,1.0,penuh waktu,51-200 pekerja,konsultasi,,,jobstreet
data scientist,pt metra-net,dki jakarta,asosiasi,2.0,kontrak,51-200 pekerja,teknologi informasi dan komunikasi,"[5000000, 7000000]",6000000.0,jobstreet
data scientist,pt prodia widyahusada tbk,dki jakarta,asosiasi,1.0,penuh waktu,1.001-5.000 pekerja,kesehatan,,,jobstreet
data scientist,quipper,dki jakarta,,,,,,,,jobstreet
data scientist,friesland campina,dki jakarta,,,,,,,,jobstreet
data scientist,pt finaccel teknologi indonesia,dki jakarta,,,,201-500 pekerja,keuangan,,,jobstreet
data scientist,pt metrodata electronics tbk,dki jakarta,,,,1.001-5.000 pekerja,konsultasi,,,jobstreet
data scientist,pt grab taxi indonesia,dki jakarta,,,,201-500 pekerja,teknologi informasi dan komunikasi,,,jobstreet
